1570497427667227,1570497427667426
1570497428667625,1570497428667768
1570497429668005,1570497429668151
1570497430668276,1570497430668471
1570497431668667,1570497431668840
1570497432668994,1570497432669161
1570497433669263,1570497433669449
1570497434669555,1570497434669778
1570497435669992,1570497435670197
1570497436670330,1570497436670506
1570497437670716,1570497437670975
1570497438670997,1570497438671257
1570497439671281,1570497439671468
1570497440671557,1570497440671756
1570497441671879,1570497441672104
1570497442672169,1570497442672458
1570497443672470,1570497443672683
1570497444672846,1570497444673030
1570497445673129,1570497445673418
1570497446673511,1570497446673671
1570497447673785,1570497447673979
1570497448674091,1570497448674288
1570497449674502,1570497449674619
1570497450674843,1570497450674990
1570497451675145,1570497451675290
1570497452675481,1570497452675625
1570497453675843,1570497453675991
1570497454676085,1570497454676251
1570497455676516,1570497455676778
1570497456676879,1570497456677064
